arc,fraction,x_m,y_m,radial_x,radial_y
right_knee,0.03125,5.135860675110146,-3.483255961391093,0.34378970039420964,-0.9390466665202851
right_knee,0.046875,5.169824871599794,-3.470504586853595,0.3591488309562811,-0.933280299386383
right_knee,0.0625,5.2035753064277035,-3.4571977335550117,0.3744112952164472,-0.9272627362373311
right_knee,0.078125,5.237102895533337,-3.443338983086559,0.3895729852232121,-0.9209955967236081
right_knee,0.09375,5.270398614835948,-3.428932065584719,0.40462982014885884,-0.9144805676701404
right_knee,0.109375,5.303453502663446,-3.4139808587272586,0.41957774738782333,-0.9077194026222861
right_knee,0.125,5.336258662164469,-3.3984893866895374,0.43441274364746824,-0.9007139213738616
right_knee,0.140625,5.368805263703003,-3.382461819061385,0.44913081603096744,-0.8934660094773372
right_knee,0.15625,5.401084547234909,-3.3659024697248414,0.4637280031120094,-0.8859776177363332
right_knee,0.171875,5.433087824665737,-3.348815795693054,0.4782003760010331,-0.8782507616805525
right_knee,0.1875,5.4648064821891404,-3.3312063959106633,0.4925440394026995,-0.870287521023295
right_knee,0.203125,5.49623198260533,-3.313079010015971,0.5067551326643285,-0.8620900391016932
right_knee,0.21875,5.5273558676188905,-3.2944385170652533,0.5208298308150076,-0.8536605222998254
right_knee,0.234375,5.55816976011536,-3.2752899342195425,0.5347643455950981,-0.8450012394548582
right_knee,0.25,5.588665366415969,-3.2556384153942375,0.5485549264758595,-0.8361145212463807
right_knee,0.265625,5.61883447850991,-3.2354892498719083,0.562197861668918,-0.8270027595690936
right_knee,0.28125,5.648668976263561,-3.2148478608786646,0.5756894791253124,-0.8176684068890191
right_knee,0.296875,5.678160829606049,-3.1937198041244743,0.5890261475238353,-0.808113975583413
right_knee,0.3125,5.707302100690571,-3.1721107663078234,0.6022042772484202,-0.7983420372645473
right_knee,0.328125,5.736084946030902,-3.150026563585115,0.6152203213543003,-0.7883552220875507
right_knee,0.34375,5.7645016186124955,-3.127473140005235,0.6280707765226821,-0.7781562180424926
right_knee,0.359375,5.792544469977627,-3.1044565659096817,0.6407521840036766,-0.7677477702308998
right_knee,0.375,5.820205952284002,-3.0809830362987105,0.6532611305472384,-0.7571326801269008
right_knee,0.390625,5.84747862033629,-3.0570588691639315,0.6655942493218505,-0.7463138048232005
right_knee,0.40625,5.87435513359002,-3.0326905037877916,0.6777482208207231,-0.735294056262081
right_knee,0.421875,5.900828258127333,-3.0078844990104185,0.6897197737552511,-0.724076400451641
right_knee,0.4375,5.926890868603998,-2.982647531464284,0.701505685935494,-0.7126638566674839
right_knee,0.453125,5.9525359501672455,-2.9569863937771617,0.7131027851374411,-0.7010594966400674
right_knee,0.46875,5.977756600343827,-2.930907992743866,0.7245079499568267,-0.6892664437279363
right_knee,0.484375,6.0025460308978555,-2.9044193474672566,0.7357181106492713,-0.677287872077056
right_knee,0.5,6.0268975696578755,-2.877527587469028,0.7467302499565113,-0.6651270057664823
right_knee,0.515625,6.050804662312707,-2.850239950770766,0.7575414039185078,-0.6527871179405857
right_knee,0.53125,6.074260874175566,-2.8225637819458056,0.7681486626712081,-0.6402715299280725
right_knee,0.546875,6.097259891915983,-2.7945065301424137,0.7785491712297457,-0.6275836103480366
right_knee,0.5625,6.119795525259062,-2.7660757470788155,0.7887401302568732,-0.6147267742032803
right_knee,0.578125,6.141861708651616,-2.7372790850106306,0.7987187968164112,-0.6017044819611571
